year,month,hour,incident,min_delay,line,season
2023,01,15,Cleaning - Unsanitary,5,501,Winter
2023,01,15,Operations,9,504,Winter
2023,01,15,Mechanical,5,501,Winter
2023,01,15,Investigation,27,504,Winter
2023,01,16,General Delay,11,505,Winter
2023,01,16,Collision - TTC Involved,9,504,Winter
2023,01,16,Operations,11,505,Winter
2023,01,18,Operations,10,506,Winter
2023,01,18,Operations,35,505,Winter
2023,01,18,Operations,57,509,Winter
2023,01,19,Held By,46,511,Winter
2023,01,19,General Delay,10,504,Winter
2023,01,19,Mechanical,9,504,Winter
2023,01,22,Operations,10,501,Winter
2023,01,23,Investigation,15,505,Winter
2023,01,23,Held By,16,506,Winter
2023,01,00,Operations,10,501,Winter
2023,01,01,Operations,10,505,Winter
2023,01,01,Mechanical,10,504,Winter
2023,01,05,Operations,10,504,Winter
2023,01,06,Mechanical,10,504,Winter
2023,01,08,Operations,8,505,Winter
2023,01,08,Collision - TTC Involved,10,505,Winter
2023,01,10,Diversion,10,505,Winter
2023,01,10,Security,6,501,Winter
2023,01,12,Held By,15,506,Winter
2023,01,13,Mechanical,38,504,Winter
2023,01,15,Late Entering Service,15,504,Winter
2023,01,16,Diversion,12,511,Winter
2023,01,16,Cleaning - Unsanitary,7,505,Winter
2023,01,17,Mechanical,7,511,Winter
2023,01,17,Operations,8,509,Winter
2023,01,18,Operations,9,506,Winter
2023,01,18,General Delay,5,510,Winter
2023,01,18,Cleaning - Unsanitary,8,505,Winter
2023,01,19,General Delay,7,512,Winter
2023,01,21,Mechanical,15,504,Winter
2023,01,23,Held By,59,501,Winter
2023,01,23,Security,37,506,Winter
2023,01,00,Security,10,501,Winter
2023,01,01,Collision - TTC Involved,10,501,Winter
2023,01,02,Operations,20,501,Winter
2023,01,03,Diversion,41,310,Winter
2023,01,04,Diversion,115,501,Winter
2023,01,04,Diversion,36,501,Winter
2023,01,05,General Delay,8,505,Winter
2023,01,06,Operations,8,505,Winter
2023,01,06,Operations,8,505,Winter
2023,01,06,Mechanical,6,501,Winter
2023,01,08,Operations,5,504,Winter
2023,01,09,Operations,9,505,Winter
2023,01,09,Diversion,9,511,Winter
2023,01,12,Mechanical,8,501,Winter
2023,01,12,Mechanical,8,501,Winter
2023,01,14,Operations,7,501,Winter
2023,01,16,Security,12,512,Winter
2023,01,16,Diversion,52,510,Winter
2023,01,16,Investigation,20,512,Winter
2023,01,16,Emergency Services,7,501,Winter
2023,01,19,Diversion,90,505,Winter
2023,01,20,Emergency Services,20,510,Winter
2023,01,21,Operations,89,505,Winter
2023,01,22,Diversion,89,506,Winter
2023,01,23,Emergency Services,19,505,Winter
2023,01,23,Security,10,501,Winter
2023,01,23,Operations,11,509,Winter
2023,01,01,Cleaning - Unsanitary,10,505,Winter
2023,01,03,Security,24,301,Winter
2023,01,04,Mechanical,11,512,Winter
2023,01,05,Overhead,9,509,Winter
2023,01,05,Security,8,501,Winter
2023,01,06,General Delay,9,505,Winter
2023,01,06,General Delay,9,505,Winter
2023,01,07,General Delay,9,509,Winter
2023,01,07,Operations,9,505,Winter
2023,01,07,Mechanical,4,505,Winter
2023,01,08,Diversion,17,509,Winter
2023,01,09,Operations,5,510,Winter
2023,01,09,Operations,10,505,Winter
2023,01,10,Mechanical,7,504,Winter
2023,01,11,Collision - TTC Involved,98,504,Winter
2023,01,13,Collision - TTC Involved,9,506,Winter
2023,01,13,Diversion,19,504,Winter
2023,01,17,Mechanical,5,504,Winter
2023,01,17,Held By,16,504,Winter
2023,01,18,General Delay,8,501,Winter
2023,01,18,Cleaning - Unsanitary,8,505,Winter
2023,01,19,Security,20,505,Winter
2023,01,20,Emergency Services,31,511,Winter
2023,01,21,Cleaning - Unsanitary,10,504,Winter
2023,01,21,Mechanical,8,501,Winter
2023,01,01,Mechanical,10,512,Winter
2023,01,08,Rail/Switches,15,509,Winter
2023,01,08,Rail/Switches,15,510,Winter
2023,01,08,Utilized Off Route,6,501,Winter
2023,01,13,Cleaning - Unsanitary,9,511,Winter
2023,01,13,Mechanical,7,504,Winter
2023,01,14,Mechanical,7,504,Winter
2023,01,14,Security,9,506,Winter
2023,01,15,Mechanical,5,504,Winter
2023,01,15,Operations,60,504,Winter
2023,01,16,Utilized Off Route,8,504,Winter
2023,01,16,Utilized Off Route,8,504,Winter
2023,01,17,General Delay,25,501,Winter
2023,01,19,Mechanical,8,501,Winter
2023,01,19,Security,12,510,Winter
2023,01,20,General Delay,31,504,Winter
2023,01,21,General Delay,7,504,Winter
2023,01,21,Cleaning - Unsanitary,10,501,Winter
2023,01,21,General Delay,11,501,Winter
2023,01,21,Cleaning - Unsanitary,10,501,Winter
2023,01,22,Investigation,5,504,Winter
2023,01,23,Emergency Services,10,501,Winter
2023,01,00,General Delay,33,501,Winter
2023,01,00,Mechanical,9,510,Winter
2023,01,01,Emergency Services,10,505,Winter
2023,01,04,Cleaning - Unsanitary,30,301,Winter
2023,01,05,Operations,14,501,Winter
2023,01,07,Operations,5,512,Winter
2023,01,08,Mechanical,12,501,Winter
2023,01,09,Operations,17,501,Winter
2023,01,14,Emergency Services,5,504,Winter
2023,01,15,Mechanical,8,501,Winter
2023,01,17,Operations,8,511,Winter
2023,01,19,Diversion,56,505,Winter
2023,01,19,Mechanical,8,501,Winter
2023,01,20,Cleaning - Unsanitary,9,504,Winter
2023,01,21,Collision - TTC Involved,31,505,Winter
2023,01,23,Mechanical,10,504,Winter
2023,01,23,Security,9,510,Winter
2023,01,23,Diversion,14,510,Winter
2023,01,23,Emergency Services,25,512,Winter
2023,01,00,Security,8,510,Winter
2023,01,01,Mechanical,10,504,Winter
2023,01,01,Utilized Off Route,20,506,Winter
2023,01,03,Mechanical,30,301,Winter
2023,01,05,Operations,12,501,Winter
2023,01,05,Held By,15,506,Winter
2023,01,05,Mechanical,4,501,Winter
2023,01,07,Security,5,501,Winter
2023,01,07,Emergency Services,17,505,Winter
2023,01,07,Operations,28,506,Winter
2023,01,08,Utilized Off Route,8,501,Winter
2023,01,08,Operations,9,509,Winter
2023,01,08,Utilized Off Route,7,504,Winter
2023,01,09,Security,5,505,Winter
2023,01,09,Utilized Off Route,10,512,Winter
2023,01,10,Security,7,511,Winter
2023,01,10,Collision - TTC Involved,10,503,Winter
2023,01,10,Collision - TTC Involved,5,504,Winter
2023,01,11,Held By,25,501,Winter
2023,01,12,General Delay,7,511,Winter
2023,01,14,Security,8,501,Winter
2023,01,16,Mechanical,6,501,Winter
2023,01,17,Emergency Services,31,501,Winter
2023,01,18,Held By,6,506,Winter
2023,01,18,Security,10,510,Winter
2023,01,18,Mechanical,6,501,Winter
2023,01,19,Cleaning - Unsanitary,31,501,Winter
2023,01,20,Operations,10,504,Winter
2023,01,20,Security,8,501,Winter
2023,01,20,Utilized Off Route,8,501,Winter
2023,01,20,General Delay,10,504,Winter
2023,01,21,General Delay,12,504,Winter
2023,01,22,Cleaning - Unsanitary,10,509,Winter
2023,01,22,Utilized Off Route,10,504,Winter
2023,01,22,Mechanical,9,505,Winter
2023,01,01,Cleaning - Unsanitary,9,505,Winter
2023,01,02,Cleaning - Unsanitary,9,510,Winter
2023,01,02,Mechanical,17,504,Winter
2023,01,03,Cleaning - Unsanitary,30,306,Winter
2023,01,03,Cleaning - Unsanitary,30,301,Winter
2023,01,06,Emergency Services,24,504,Winter
2023,01,08,Mechanical,10,504,Winter
2023,01,09,Operations,8,504,Winter
2023,01,12,Mechanical,6,501,Winter
2023,01,13,Mechanical,10,504,Winter
2023,01,14,Diversion,45,501,Winter
2023,01,15,Security,35,512,Winter
2023,01,15,Operations,11,506,Winter
2023,01,15,Mechanical,10,504,Winter
2023,01,15,General Delay,13,506,Winter
2023,01,17,Investigation,10,504,Winter
2023,01,19,General Delay,14,506,Winter
2023,01,19,General Delay,6,505,Winter
2023,01,21,Collision - TTC Involved,10,501,Winter
2023,01,22,Investigation,37,501,Winter
2023,01,22,Mechanical,10,501,Winter
2023,01,22,General Delay,10,506,Winter
2023,01,23,Operations,10,501,Winter
2023,01,23,General Delay,15,501,Winter
2023,01,00,Diversion,33,504,Winter
2023,01,02,Diversion,32,504,Winter
2023,01,02,General Delay,25,504,Winter
2023,01,02,Held By,13,504,Winter
2023,01,02,Held By,45,510,Winter
2023,01,04,Operations,15,504,Winter
2023,01,05,General Delay,15,504,Winter
2023,01,12,Collision - TTC Involved,7,501,Winter
2023,01,13,Held By,14,512,Winter
2023,01,15,Cleaning - Unsanitary,7,501,Winter
2023,01,17,Cleaning - Unsanitary,7,501,Winter
2023,01,17,General Delay,17,506,Winter
2023,01,18,General Delay,23,506,Winter
2023,01,18,General Delay,8,510,Winter
2023,01,20,Security,16,510,Winter
2023,01,21,General Delay,25,504,Winter
2023,01,23,Security,10,510,Winter
2023,01,00,Cleaning - Unsanitary,10,501,Winter
2023,01,06,Operations,6,512,Winter
2023,01,06,Security,8,505,Winter
2023,01,07,Emergency Services,10,509,Winter
2023,01,07,Diversion,24,510,Winter
2023,01,08,Collision - TTC Involved,7,501,Winter
2023,01,12,Operations,6,501,Winter
2023,01,12,Collision - TTC Involved,8,501,Winter
2023,01,14,Diversion,14,505,Winter
